epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1744.97,1.03612,1.57231,0.69373,0.85725,0.81741,0.72354,0.79157,0.52402,0.7383,0.61494,0.65579,0.32304,0.75643,1.24124,0.93015,0.72581,0.0014258,0.0014258,0.0014258
31,1802.77,1.02444,1.58957,0.70166,0.86004,0.82809,0.68409,0.76312,0.49953,0.71773,0.57644,0.58429,0.27123,0.78428,1.22381,0.76288,0.73218,0.001406,0.001406,0.001406
32,1860.69,1.03135,1.59361,0.69178,0.86013,0.80791,0.66352,0.74283,0.46654,0.73311,0.58842,0.63629,0.32608,0.88381,1.33908,0.67693,0.74836,0.0013862,0.0013862,0.0013862
33,1917.3,1.00342,1.52749,0.66646,0.85492,0.80233,0.67344,0.76006,0.51267,0.6985,0.56429,0.61022,0.29732,0.80524,1.33259,0.685,0.73392,0.0013664,0.0013664,0.0013664
34,1974.22,1.00552,1.55016,0.66056,0.85787,0.79379,0.73366,0.79129,0.50589,0.67859,0.61829,0.61269,0.28029,0.80565,1.20993,0.66032,0.72915,0.0013466,0.0013466,0.0013466
35,2031.37,1.00341,1.48643,0.62941,0.85583,0.81423,0.66127,0.74532,0.50307,0.71925,0.56489,0.60775,0.311,0.78412,1.33541,0.79849,0.73021,0.0013268,0.0013268,0.0013268
36,2088.29,1.00104,1.51316,0.66206,0.84733,0.84692,0.74664,0.82556,0.55351,0.72667,0.61737,0.65046,0.32805,0.754,1.18946,0.51742,0.72355,0.001307,0.001307,0.001307
37,2163.14,0.98871,1.50677,0.68093,0.85045,0.78952,0.69608,0.78098,0.51128,0.6851,0.60577,0.6393,0.31969,0.76566,1.18429,0.87139,0.7259,0.0012872,0.0012872,0.0012872
38,2305.36,0.97435,1.47174,0.65959,0.84734,0.78918,0.66025,0.75797,0.5137,0.68012,0.569,0.61415,0.31425,0.74731,1.18539,0.60724,0.72499,0.0012674,0.0012674,0.0012674
39,2426.75,0.98705,1.50376,0.69976,0.85,0.81683,0.73676,0.80853,0.53906,0.71959,0.62231,0.63784,0.30993,0.74945,1.20194,0.5396,0.72606,0.0012476,0.0012476,0.0012476
40,2544.95,0.98641,1.47888,0.64753,0.85079,0.79545,0.74388,0.80847,0.53677,0.67324,0.62542,0.62301,0.30092,0.75127,1.18711,0.57473,0.72373,0.0012278,0.0012278,0.0012278
41,2601.56,0.99478,1.52682,0.65168,0.8499,0.80268,0.66418,0.7916,0.52366,0.68931,0.57038,0.63322,0.30946,0.74852,1.18495,0.70034,0.72485,0.001208,0.001208,0.001208
42,2658.46,0.99099,1.49407,0.66324,0.84644,0.8131,0.72079,0.78402,0.49268,0.7301,0.62973,0.63763,0.29941,0.75247,1.16891,0.64748,0.72398,0.0011882,0.0011882,0.0011882
43,2715.5,0.95599,1.46829,0.62467,0.84666,0.82988,0.6962,0.77862,0.52972,0.74334,0.58417,0.6321,0.32002,0.74004,1.17154,0.58111,0.72396,0.0011684,0.0011684,0.0011684
44,2771.93,0.97213,1.47911,0.64139,0.84895,0.77917,0.70803,0.78286,0.5252,0.68067,0.60795,0.63812,0.32658,0.75086,1.19816,0.69063,0.7229,0.0011486,0.0011486,0.0011486
45,2828.53,0.95847,1.47957,0.60399,0.84653,0.82323,0.65759,0.74519,0.51077,0.72082,0.57762,0.62546,0.31723,0.73263,1.15987,0.60784,0.72331,0.0011288,0.0011288,0.0011288
46,2886.03,0.97762,1.52109,0.61207,0.84915,0.84333,0.71314,0.81488,0.54447,0.73682,0.60961,0.64274,0.30591,0.73413,1.16945,0.66014,0.72262,0.001109,0.001109,0.001109
47,2944.08,0.98371,1.49469,0.62434,0.84533,0.76007,0.71018,0.78903,0.51837,0.64211,0.60423,0.61824,0.29709,0.76191,1.1883,0.76367,0.72244,0.0010892,0.0010892,0.0010892
48,3001.47,0.99521,1.49465,0.62077,0.85002,0.83206,0.70251,0.79204,0.53007,0.72836,0.60094,0.63357,0.31595,0.73283,1.17036,0.69477,0.72404,0.0010694,0.0010694,0.0010694
49,3059.6,0.9489,1.47633,0.64033,0.845,0.81201,0.72423,0.78552,0.51626,0.69473,0.60795,0.59554,0.27766,0.76278,1.16941,0.68003,0.72722,0.0010496,0.0010496,0.0010496
50,3117.01,0.97451,1.46936,0.6172,0.84279,0.80233,0.68459,0.77668,0.53065,0.70184,0.58584,0.64014,0.33725,0.73181,1.16035,0.52667,0.72101,0.0010298,0.0010298,0.0010298
51,3174.43,0.95877,1.46356,0.59871,0.84585,0.824,0.72625,0.80924,0.55337,0.71428,0.61098,0.65227,0.33298,0.72679,1.1556,0.47202,0.7208,0.00101,0.00101,0.00101
52,3232.6,0.99349,1.49539,0.64167,0.85107,0.81305,0.72538,0.79683,0.51929,0.71484,0.63484,0.664,0.34398,0.77946,1.1658,0.58719,0.72904,0.0009902,0.0009902,0.0009902
53,3290.51,0.95184,1.45753,0.60968,0.84574,0.79183,0.73469,0.80478,0.55936,0.66691,0.62174,0.64913,0.33527,0.72205,1.14056,0.47249,0.72292,0.0009704,0.0009704,0.0009704
54,3348.39,0.96716,1.50705,0.61558,0.84771,0.79344,0.67353,0.76405,0.53336,0.68243,0.58049,0.63348,0.33166,0.73502,1.15579,0.55208,0.72256,0.0009506,0.0009506,0.0009506
55,3405.64,0.97921,1.48767,0.62826,0.84841,0.80729,0.73884,0.8049,0.54291,0.69925,0.63702,0.6534,0.31845,0.74706,1.15118,0.54243,0.7233,0.0009308,0.0009308,0.0009308
56,3463.8,0.98394,1.48363,0.61597,0.84365,0.87469,0.6946,0.80469,0.55555,0.77688,0.60131,0.66013,0.33757,0.72651,1.14801,0.59387,0.72405,0.000911,0.000911,0.000911
57,3521.46,0.96642,1.47545,0.60713,0.84672,0.8012,0.72379,0.80527,0.54843,0.69291,0.6352,0.65679,0.32813,0.725,1.12061,0.60613,0.72046,0.0008912,0.0008912,0.0008912
58,3579.17,0.97591,1.46249,0.60633,0.84404,0.83322,0.74652,0.82451,0.55077,0.73783,0.6407,0.65953,0.31375,0.71122,1.12585,0.61766,0.71996,0.0008714,0.0008714,0.0008714
59,3637.73,0.98174,1.47179,0.58521,0.84655,0.81583,0.75882,0.82586,0.56062,0.68354,0.63507,0.64749,0.32359,0.74399,1.13567,0.54662,0.72109,0.0008516,0.0008516,0.0008516
60,3695.24,0.95127,1.46045,0.64088,0.84662,0.82838,0.71447,0.79773,0.52235,0.6988,0.607,0.60615,0.29151,0.73533,1.14514,0.67238,0.72196,0.0008318,0.0008318,0.0008318
61,3752.77,0.943,1.43891,0.58247,0.8437,0.82718,0.71002,0.79671,0.54817,0.72705,0.61427,0.66921,0.35109,0.71946,1.14047,0.53076,0.72096,0.000812,0.000812,0.000812
62,3810.27,0.92033,1.41146,0.5484,0.84195,0.82292,0.75124,0.82406,0.57157,0.71198,0.64277,0.67579,0.34764,0.71054,1.12563,0.50364,0.71928,0.0007922,0.0007922,0.0007922
63,3867.54,0.95928,1.47143,0.57266,0.84803,0.80112,0.74216,0.82024,0.56242,0.68669,0.63791,0.66923,0.35011,0.71879,1.15021,0.53467,0.72077,0.0007724,0.0007724,0.0007724
64,3924.93,0.9449,1.42349,0.59037,0.84108,0.85491,0.7124,0.82101,0.56428,0.76078,0.6099,0.68457,0.35471,0.72438,1.14156,0.64691,0.72019,0.0007526,0.0007526,0.0007526
65,3982.24,0.93993,1.43833,0.5952,0.84309,0.83668,0.69263,0.81503,0.55018,0.73119,0.60446,0.67187,0.34042,0.73629,1.15615,0.56942,0.72159,0.0007328,0.0007328,0.0007328
66,4039.57,0.92466,1.40483,0.56805,0.83799,0.82939,0.70849,0.8157,0.54078,0.70623,0.59359,0.6219,0.29836,0.73582,1.14815,0.5796,0.71955,0.000713,0.000713,0.000713
67,4097.05,0.94778,1.45803,0.61362,0.84089,0.82945,0.69794,0.80054,0.53676,0.71474,0.59658,0.63221,0.30986,0.73302,1.14724,0.66764,0.72137,0.0006932,0.0006932,0.0006932
68,4154.45,0.94604,1.45444,0.598,0.84571,0.80752,0.70186,0.78806,0.53668,0.68119,0.5934,0.61965,0.30809,0.72845,1.12026,0.61723,0.71935,0.0006734,0.0006734,0.0006734
