epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,5024.2,0.93342,1.30497,0.48307,0.82369,0,0.85583,0.80198,0.86475,0.61542,0.746,0.68996,0.73303,0.3851,0.86042,1.36936,0.51849,0.82436,0,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,5233.4,0.92816,1.31244,0.48819,0.82289,0,0.81685,0.82471,0.8369,0.57973,0.69568,0.71293,0.68745,0.33661,0.869,1.42337,0.53616,0.82266,0,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,5411.79,0.94838,1.34216,0.4835,0.82601,0,0.86165,0.83134,0.86524,0.60833,0.75178,0.72976,0.75424,0.41223,0.90944,1.35757,0.50331,0.8268,0,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,5670.58,0.94396,1.32734,0.48946,0.82503,0,0.88611,0.81011,0.86734,0.61194,0.764,0.69848,0.73549,0.39364,0.87405,1.37367,0.48015,0.82573,0,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,5877.28,0.92097,1.29677,0.47538,0.82487,0,0.85346,0.82101,0.86646,0.61268,0.73606,0.70631,0.7203,0.37876,0.85376,1.36951,0.49313,0.822,0,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,6060.06,0.92549,1.31494,0.47752,0.82544,0,0.8612,0.83133,0.86896,0.62162,0.74455,0.70097,0.7245,0.37551,0.85753,1.38115,0.47956,0.82439,0,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,6270.75,0.92036,1.30898,0.4769,0.824,0,0.86296,0.82523,0.87003,0.61455,0.75042,0.71526,0.74157,0.39253,0.8594,1.35311,0.4878,0.82226,0,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,6462,0.93886,1.33621,0.47803,0.8272,0,0.86663,0.83048,0.87006,0.61468,0.73528,0.70811,0.72775,0.37321,0.85702,1.39718,0.50004,0.82146,0,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,6644.92,0.93154,1.28532,0.46952,0.82288,0,0.86392,0.8433,0.88102,0.62998,0.74685,0.7215,0.74784,0.40097,0.8519,1.33581,0.47284,0.82149,0,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,6842.99,0.92638,1.31207,0.47659,0.82557,0,0.87364,0.84795,0.87882,0.62417,0.72489,0.72162,0.72006,0.3697,0.84456,1.3359,0.4621,0.82244,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
